Alternating	Test number	Average Easy Time	Average Medium Time	Average Hard Time
	1	0.334806919	0.349617243	0.352390051
	2	0.331151009	0.34675312	0.353270054
	3	0.332902193	0.346325159	0.37181282
	4	0.355643034	0.348137856	0.352447033
	5	0.325960159	0.335431099	0.341353893
	Average Time	0.336092663	0.345252895	0.35425477
				
Annealing	Test number	Average Easy Time	Average Medium Time	Average Hard Time
	1	0.366416216	0.516190052	3.234688997
	2	0.362317085	0.510174751	3.229521036
	3	0.368790865	0.507727861	3.29467988
	4	0.365679026	0.513533115	3.24397397
	5	0.349746227	0.516566992	3.263844967
	Average Time	0.362589884	0.512838554	3.25334177
				
Backtracking	Test number	Average Easy Time	Average Medium Time	Average Hard Time
	1	9.01E-05	0.010720015	0.039839983
	2	9.87E-05	0.010674953	0.039568901
	3	8.82E-05	0.010455132	0.039644718
	4	9.87E-05	0.011147022	0.039741993
	5	0.000103235	0.011088133	0.039565086
	Average Time	9.57966E-05	0.010817051	0.039672136
				
MRV	Test number	Average Easy Time	Average Medium Time	Average Hard Time
	1	0.00010705	0.000203133	0.00535202
	2	9.61E-05	0.000203133	0.005320072
	3	0.000111103	0.000219822	0.005594015
	4	0.00011611	0.000221968	0.005304813
	5	0.000102282	0.000197887	0.005209923
	Average Time	0.000106525	0.000209188	0.005356169


Type	Easy	Medium	Hard
Alternating	0.336092663	0.345252895	0.35425477
Annealing	0.362589884	0.512838554	3.25334177
Backtracking	9.57966E-05	0.010817051	0.039672136
MRV	0.000106525	0.000209188	0.005356169
